Role,Age,Birth Country,Zip,Lat,Long,Departure Time,"Distance from Nueva (37.56, -122.38)"
Parent or Guardian of Nueva student,47,India,94303,37.45,-122.12,7:00:00 AM,28.29851756
Nueva Employee (not a teacher),45,United States,94112,37.72,-122.44,8:00:00 AM,17.2514811
Parent or Guardian of Nueva student,46,China,94010,37.57,-122.38,8:00:00 AM,1.321225189
Nueva Teacher,40,United States,94131,37.75,-122.44,7:10:00 AM,19.57671477
Nueva Teacher,,United States,,#N/A,#N/A,7:25:00 AM,#N/A
Parent or Guardian of Nueva student,50,India,94010,37.57,-122.38,7:55:00 AM,1.321225189
Parent or Guardian of Nueva student,,Japan,94010,37.57,-122.38,,1.321225189
Parent or Guardian of Nueva student,60,United States,94010,37.57,-122.38,7:45:00 AM,1.321225189
Parent or Guardian of Nueva student,49,United States,94010,37.57,-122.38,8:00:00 AM,1.321225189
Parent or Guardian of Nueva student,49,China,,#N/A,#N/A,,#N/A
Parent or Guardian of Nueva student,55,United States,94010,37.57,-122.38,7:50:00 AM,1.321225189
Parent or Guardian of Nueva student,52,China,94030,37.60,-122.40,7:45:00 AM,4.587260729
Parent or Guardian of Nueva student,48,United States,94010,37.57,-122.38,7:55:00 AM,1.321225189
Nueva Teacher,32,United States,94110,37.75,-122.42,7:20:00 AM,19.29509329
Parent or Guardian of Nueva student,46,United States,94403,37.54,-122.31,7:45:00 AM,7.803738591
Parent or Guardian of Nueva student,51,China,94030,37.60,-122.40,7:45:00 AM,4.587260729
Parent or Guardian of Nueva student,50,United States,94303,37.45,-122.12,7:15:00 AM,28.29851756
Grandparent,77,India,,#N/A,#N/A,,#N/A
Nueva Teacher,60,United Kingdom,,#N/A,#N/A,7:00:00 AM,#N/A
Nueva Teacher,47,Hong Kong,94131,37.75,-122.44,7:30:00 AM,19.57671477
Parent or Guardian of Nueva student,51,China,94010,37.57,-122.38,7:50:00 AM,1.321225189
Nueva Teacher,54,United States,94306,37.42,-122.13,7:15:00 AM,28.75053267
Nueva Teacher,41,United States,94602,37.81,-122.20,6:45:00 AM,30.1801804
grandparent,85,India,,#N/A,#N/A,,#N/A
Parent or Guardian of Nueva student,47,United States,94402,37.54,-122.33,7:50:00 AM,5.00212205
Parent or Guardian of Nueva student,44,United States,94062,37.43,-122.30,7:30:00 AM,15.7946144
Grandparent of Nueva student,77,United States,94010,37.57,-122.38,,1.321225189
Parent or Guardian of Nueva student,55,Bulgaria,94010,37.57,-122.38,7:30:00 AM,1.321225189
Parent or Guardian of Nueva student,44,United States,94010,37.57,-122.38,7:50:00 AM,1.321225189
Nueva Teacher,30,United States,94117,37.77,-122.44,7:10:00 AM,21.95550054
Parent or Guardian of Nueva student,57,United States,94129,37.80,-122.47,7:05:00 AM,25.2867564
Parent or Guardian of Nueva student,50,China,94403,37.54,-122.31,7:30:00 AM,7.803738591
Principal,53,United States,94403,37.54,-122.31,7:00:00 AM,7.803738591
Nueva Teacher,43,United States,94546,37.73,-122.09,7:00:00 AM,33.75497713
Parent or Guardian of Nueva student,45,Vietnam,94062,37.43,-122.30,7:30:00 AM,15.7946144
Parent or Guardian of Nueva student,46,United States,94070,37.50,-122.27,7:30:00 AM,12.65701865
Parent or Guardian of Nueva student,44,India,94040,37.38,-122.09,7:10:00 AM,34.54022519
