Year,AdriaticSea,AndamanSea,ArabianSea,AtlanticOcean,BalticSea,BayBengal,BeringSea,CaribbeanSea,GulfMexico,IndianOcean,Indonesian,Mediterranean,Nino,NorthAtlantic,NorthPacific,NorthSea,PacificOcean,PersianGulf,SeaJapan,SeaOkhotsk,SouthChina,SouthernOcean,Tropics,World,YellowSea,Mean
2012,135.6027536,182.7976812,163.1642029,150.9786957,217.0971014,162.7289855,125.2730435,152.8592754,178.6166667,162.1524638,195.3724638,145.1204348,155.7362319,152.7930435,159.22,129.0195652,148.9066667,160.8308955,167.2004348,138.424058,188.28,152.7007246,154.8271014,153.4157971,175.0541176,160.6148586
2013,158.3537736,192.5247273,176.29875,152.0798214,83.90267857,179.4933929,125.6557143,143.0469091,148.6394643,161.8148214,233.4553571,143.9066071,151.1739286,131.52125,144.90375,115.4281818,148.8042857,164.0518868,131.7955357,130.9250909,186.3758929,162.5853571,154.9719643,154.2301923,131.7469091,152.2273354
2014,177.2781081,162.9361111,164.3538889,154.1366667,103.5333333,161.4488889,162.5827778,171.6175676,168.32,162.5744444,155.3316667,154.0444444,170.48,145.9388889,166.3194444,134.8277778,157.5927778,172.8044444,167.7161111,159.8713889,162.5477778,159.3794444,159.3688889,158.2655556,162.1037838,159.0461928
2015,158.4105405,163.1783784,192.8791892,162.2591892,259.8783784,183.16,180.5313514,189.9824324,196.8078378,172.6313514,101.6521622,135.2608108,194.1394595,158.1972973,176.1810811,174.6959459,167.5778378,211.01,150.6110811,174.4748649,149.0848649,168.8289189,168.1002703,167.0045946,154.6524324,172.6744032
2016,156.803,234.6204286,192.6341429,165.794,172.8417143,216.2452857,182.1962857,189.7565714,214.6015714,164.348,164.4401429,162.4505714,161.646,167.8738571,179.4682857,177.8562857,171.71,180.7184058,202.0905714,175.6971429,161.1695714,168.4287143,172.1631429,170.4625714,189.52,180.2114038
2017,121.6118,165.142549,182.6078431,170.5723529,236.234902,178.9194118,165.7066667,155.962549,190.9345098,168.0729412,203.9682353,136.2962745,162.8168627,163.502549,152.3631373,186.3531373,169.6341176,173.0757692,170.9272549,174.7209804,187.9519608,177.6411765,172.382549,170.4809804,154.4690196,171.7445229
2018,184.0345946,176.0883784,163.4308108,176.6948649,151.512973,164.9148649,174.2491892,173.8564865,195.8994595,168.7,182.087027,180.8651351,187.1659459,182.4521622,185.0248649,166.5327027,175.0859459,168.2889189,161.0208108,166.8416216,167.4856757,173.0935135,174.2078378,174.2402703,165.8605405,173.5580968
2019,165.4685714,126.2586486,198.0983784,185.2678378,197.2291892,162.5608108,165.5356757,200.9078378,225.4183784,178.9189189,131.86,167.1083784,181.8145946,187.2413514,189.7221622,184.9245946,180.1562162,218.8727027,186.8505405,167.0794595,173.937027,178.9475676,181.7564865,180.6348649,185.6416216,180.0657062
2020,165.5956757,202.9605556,211.2448649,183.6659459,292.9948649,203.5967568,168.7110811,197.2740541,226.7691892,181.9527027,197.0118919,181.3021622,184.1213514,189.8208108,201.6227027,205.2656757,180.5483784,242.5869444,198.5059459,171.3883784,195.8140541,179.2624324,184.1291892,183.357027,196.3364865,197.6034206
2021,160.1632432,244.6564865,209.33,189.6760811,188.4090541,244.6055405,153.7333784,187.5341892,215.9772973,179.9695946,257.4875676,176.2366216,189.5666216,193.3735135,211.0348649,188.8278378,185.2071622,249.1641892,211.4377027,170.4917568,208.0201351,184.2185135,188.8447297,188.0475676,198.2939189,199.4275
2022,156.8758904,236.9456757,191.2475676,189.6004054,243.2223288,222.2350685,172.4482432,210.0090411,245.1654795,189.5858108,282.849589,176.050411,195.2625676,200.9280822,207.042973,226.2880822,184.9436486,213.697973,209.6750685,180.5283562,237.9471622,188.6063514,190.5798649,190.3340541,197.4579452,206.2163994
2023,184.0785714,148.7314286,205.4414286,196.6492857,239.085,174.1121429,177.1835714,217.8778571,249.7957143,194.4421429,198.78,199.2721429,205.0321429,201.2942857,213.7885714,219.62,193.7407143,213.1478571,213.4878571,180.8121429,208.6764286,192.7535714,196.5178571,196.2259459,194.1921429,200.771369
2024,194.3014286,137.1557143,196.5128571,192.0357143,308.18,134.1514286,157.0042857,176.1614286,151.3228571,204.4457143,199.2257143,190.3085714,181.9528571,179.6657143,168.0542857,249.2242857,180.0114286,149.03,149.9657143,154.0814286,207.7885714,199.4614286,188.2228571,193.7756522,160.3042857,183.6903571
